ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,BILL_AMT1,PAY_AMT1,PAY_2,BILL_AMT2,PAY_AMT2,PAY_3,BILL_AMT3,PAY_AMT3,PAY_4,BILL_AMT4,PAY_AMT4,PAY_5,BILL_AMT5,PAY_AMT5,PAY_6,BILL_AMT6,PAY_AMT6,default.payment.next.month
37,496232,2,3,1,55,4,18429,48927,-1,267265,31115,-2,111400,21105,5,160544,11640,2,186726,18562,1,228477,3694,0
38,402752,2,4,3,49,3,121356,39278,8,154327,23249,-1,240767,46001,2,259918,23829,1,32881,22555,3,201732,37586,1
39,166730,2,4,1,50,6,298345,4196,8,27152,6458,7,67643,37355,8,241542,41284,5,265713,18250,1,91110,41515,1
40,356622,2,4,1,51,7,45468,14619,-1,157480,323,1,52285,32454,2,191150,39697,4,197621,39276,5,115752,25060,1
41,394681,1,1,1,53,0,42911,33481,1,265140,39434,6,-9398,48560,7,296599,46423,6,60352,11102,0,20378,21940,0
42,159503,1,2,2,60,3,244016,14844,5,107878,46555,1,-2027,19679,0,22712,999,6,271836,42921,1,246306,31735,1
43,140523,1,2,3,24,6,276793,9750,-2,83960,34160,3,51748,22061,5,258056,44065,6,65327,12625,7,267408,30848,1
44,12747,2,4,2,54,7,145206,46758,5,239194,41065,-1,90031,1128,0,198956,19201,7,260034,17201,-1,59435,6234,1
45,133855,1,4,2,37,0,52721,20315,1,149269,47114,4,217366,19564,8,99369,7840,4,197787,3277,-1,-8346,8266,0
46,462366,2,3,2,54,6,178693,296,8,37593,6938,-1,92343,48402,6,212018,36630,3,138968,21044,7,215386,43618,0
47,75725,2,4,1,52,0,167653,36328,-1,72807,32330,8,77299,23676,1,192574,7959,-2,235700,5309,0,269434,31713,0
48,139981,1,3,2,53,-2,210006,39406,5,94063,29497,5,78889,48950,3,135081,32441,-2,153370,37248,2,109101,2167,0
49,94654,1,1,2,57,8,64651,44780,7,123418,25662,6,133475,33990,4,272339,47751,-1,253468,9015,2,29140,24946,0
50,438989,2,1,2,51,0,184391,26275,-2,102970,14422,0,50728,24894,-1,62793,28764,-1,226304,30258,0,134121,34416,0
51,391490,2,1,2,46,2,114348,32413,8,295049,31440,6,210992,38211,5,135096,41161,5,194962,11007,1,144880,27386,0
52,77435,1,1,2,51,5,114417,19035,7,214574,12593,7,184585,14694,6,17490,1147,4,39322,21367,2,204040,18482,1
53,329030,2,4,2,51,-2,-9054,654,8,95834,43483,5,9205,32443,4,56920,43409,7,159279,27284,2,241695,18338,0
54,338947,1,4,3,48,1,5093,7407,2,259387,7324,7,119328,48158,2,59808,35582,3,47572,35727,-2,89113,14377,0
55,41551,1,3,1,58,7,44946,42076,2,263090,13570,2,86711,44821,0,94311,4028,2,46097,32859,3,160961,44622,1
56,388360,2,4,2,64,5,263524,20006,8,230114,10868,2,46670,7831,6,76771,27257,7,105176,33761,1,2349,11141,0
57,283538,2,3,1,30,8,257274,43366,2,207734,12080,-1,157985,20948,0,32637,41162,8,163709,87,1,45685,10930,1
58,341236,2,1,3,28,3,165219,17300,1,170662,8677,-1,188278,6902,5,188439,31336,-1,281847,13050,7,231954,19801,1
59,13890,2,3,3,56,1,120335,15520,-2,249167,45369,7,121728,48357,6,154887,6162,3,291523,25547,-2,55658,20752,1
60,51606,1,3,1,39,0,162259,16464,5,177213,14759,6,248895,3440,1,114473,24241,7,233410,33932,4,149338,38917,0
61,499492,2,4,3,48,-2,139968,43386,3,83608,28278,3,145766,38555,1,19754,43963,8,91739,11331,3,215324,49219,0
62,266840,1,1,2,25,7,238276,36888,-2,298997,8995,3,235230,42985,5,45188,42438,2,107856,8982,-2,284539,48538,1
63,483254,1,2,3,44,5,202830,45871,1,221825,23015,6,295959,40194,4,55465,14932,4,27567,46393,7,252210,5690,0
64,359457,2,4,2,27,-1,233328,12332,1,232684,35535,1,112026,32802,4,47360,31595,7,130863,21455,4,85418,8900,0
65,151699,1,4,1,40,4,62861,40479,8,122644,47684,8,114429,41277,-2,76346,18509,7,-632,29970,2,182153,586,0
66,280936,2,2,1,22,0,215177,20585,1,108979,20332,-1,70058,30730,-2,67854,14880,1,198616,17930,2,110911,13261,0
67,249931,2,1,1,63,2,298565,12110,7,142791,8822,3,23100,4941,6,70945,22743,-2,90991,11363,-1,130247,6683,1
68,249629,1,2,1,30,3,91641,24174,8,260839,20987,4,233122,26203,3,34525,34304,-1,4354,11355,3,116137,36987,1
69,215041,1,3,1,38,0,189052,13890,-1,2281,23339,-1,81651,21808,0,66005,16804,1,73334,38713,1,599,47680,0
70,184073,1,2,1,54,3,253160,20120,5,151100,35852,6,121052,39721,5,126696,17219,5,209028,45741,-2,65294,18502,1
71,217624,2,1,2,34,8,110846,40759,2,152038,5832,6,27513,24832,-2,198284,6657,7,244758,16531,5,263584,1053,1
72,427113,2,1,1,30,4,226032,46505,-2,68341,22962,-1,108147,16574,8,278312,23216,3,127359,43326,4,288728,49262,0
73,78148,1,2,3,58,7,123706,4302,4,101056,9529,7,258558,19807,-1,116997,4282,8,220065,47023,2,205825,44730,1
74,262801,2,4,2,52,4,42139,2359,6,241546,41573,5,225482,17655,4,777,35687,8,112789,38019,2,221219,988,0
75,134243,2,2,2,23,-1,126304,44530,5,193801,44426,1,82470,15966,-2,196474,43665,7,73667,39374,5,199646,29172,1
76,261995,1,3,2,28,-1,77586,2526,3,30942,20319,3,76811,46459,-2,37687,38211,8,38371,2723,6,285231,42206,0
77,392318,2,2,2,29,8,235906,4777,4,111160,27921,7,101323,49147,3,240082,37839,7,181162,22227,8,64963,1395,0
78,164555,1,2,1,31,8,15483,15958,2,-5916,43221,-1,63629,44712,2,92892,47113,8,64130,8578,0,180140,35096,0
79,396502,1,2,1,36,0,201144,3160,3,21714,46796,8,286118,15690,3,278879,24392,3,15057,48,5,230079,15832,0
80,58555,1,3,1,54,4,137795,30380,-1,259911,38783,3,50297,7536,-2,276202,10152,6,209263,44033,0,202809,9767,1
81,266508,2,2,3,44,-2,149603,4928,4,7953,15297,4,137834,35266,2,121868,15108,8,102814,22887,-1,43238,30104,0
82,289303,1,4,1,51,5,251784,43215,5,169867,7351,3,232419,23614,-1,164272,45635,2,205800,36733,3,290732,36703,1
83,382654,1,3,1,25,1,191220,39067,6,103378,15150,6,258432,41214,2,137722,8723,3,297906,7785,5,266400,25178,0
84,116530,1,4,3,53,3,290142,535,4,61126,32217,1,206600,28031,2,43314,40421,1,279810,6884,7,17427,42924,1
85,90077,1,3,1,50,2,132731,47299,1,-9179,48651,6,69303,23876,7,118390,32397,4,17560,35595,8,144676,32003,1
86,308064,2,1,1,50,-2,265382,26687,8,131748,28622,0,107766,13042,3,265293,13747,3,17649,49180,8,166556,22609,1
87,495283,1,1,2,35,2,73709,13713,3,46780,14741,0,93256,14338,0,63172,18563,6,23203,38499,5,130243,8542,0
88,470337,2,3,1,59,2,171826,39182,3,68014,22609,7,227709,26232,5,192249,29187,8,214752,8008,8,112482,47737,1
89,210551,1,3,3,36,4,20361,18157,4,235837,44460,4,37194,11022,5,201319,4262,2,29924,13458,6,67938,5318,1
90,492691,2,3,2,46,6,235298,32977,2,120882,31250,5,110873,30508,4,118872,15654,7,286823,37731,-2,216991,26103,0
91,291601,2,1,3,32,6,236174,2273,1,52708,43580,8,142929,39354,5,196140,28747,8,7031,1438,0,50940,12541,1
92,469773,2,3,3,39,-2,6517,5812,5,136567,11847,8,159241,42372,-1,156614,27252,0,173940,46482,2,146405,3373,0
93,218261,2,1,1,55,2,199887,23082,1,203119,12934,1,61899,30074,0,243897,32462,7,81781,44137,4,195384,5419,1
94,250181,1,1,2,40,1,193106,8367,5,65221,7258,4,23588,16940,6,223446,16377,-1,223075,14241,7,82626,31528,0
95,351097,1,3,1,41,4,271963,34252,1,124489,3477,2,16558,43794,2,8015,48341,8,134383,7294,3,273506,12922,0
96,325139,2,3,2,57,2,284370,36951,0,159482,38423,4,250683,42478,1,58776,41540,3,270231,42125,4,159350,11261,1
97,181829,2,3,2,35,-1,146061,18624,6,2873,48082,3,147650,34333,7,21681,131,7,45074,15079,8,130321,4655,1
98,281836,2,1,2,36,8,145820,32202,0,79181,12861,-1,204593,15777,4,-3671,48546,2,-6677,10676,7,293636,49582,0
99,448974,1,2,3,36,1,273929,17803,1,280806,49238,5,88963,27029,1,268672,42031,5,72294,33496,-1,189251,6174,0
100,475625,2,3,1,43,7,285749,41231,0,223846,49529,4,156129,24310,2,65676,2540,3,65381,49525,8,16672,13029,0
101,212283,2,2,2,64,1,239246,37793,6,266890,27680,7,21414,22142,5,202955,22219,6,82395,33146,3,124194,24994,1
102,206769,1,2,2,24,7,18185,47980,-1,152700,41794,2,270373,35461,-2,283331,19887,2,243762,3275,4,121999,20980,0
103,47065,1,2,3,49,0,68406,35983,2,95248,30651,-2,107310,34739,4,168204,17674,0,251194,19981,2,114366,44740,0
104,233165,1,4,2,57,8,260215,44981,-2,213083,12200,-1,41577,34048,0,42637,29695,4,8221,10549,3,25218,28870,1
105,109299,1,2,2,44,2,35628,26004,5,102485,9647,6,83956,14066,1,51608,44694,3,92069,3927,1,60499,15732,0
106,435822,1,2,1,28,5,232422,45759,8,198445,6536,-1,129786,13107,6,86747,49627,7,150730,36710,6,213157,36235,0
107,21534,1,1,3,64,-1,60693,8997,2,67925,45363,1,31076,44694,7,289346,30447,6,186679,45592,4,-2569,1429,0
108,497879,2,4,3,25,8,242463,44344,-2,171599,22181,-2,191901,41169,3,288361,38404,2,-1909,49933,0,282663,26362,0
109,50397,2,1,2,63,-1,180525,8538,7,205055,29866,7,177708,40911,4,42639,24023,-2,76442,42659,5,25880,41638,1
110,267750,1,1,2,49,6,187391,12494,4,224667,32106,-1,239871,49207,4,227750,11113,3,157483,32852,7,297472,7431,0
111,363531,2,2,3,30,2,169458,25136,4,-7573,36420,5,163373,964,4,209543,28538,0,60092,3519,3,145756,3119,0
112,273160,1,1,2,64,-1,211026,15394,8,257177,34762,1,267669,7599,5,53105,1391,5,585,48912,7,-1241,41125,0
113,493005,2,3,2,29,-1,86523,19710,0,119797,23553,3,56406,35180,2,188991,13944,0,103825,32552,4,29221,4312,0
114,65591,1,2,3,42,0,114759,29915,7,-4870,47212,1,94346,37166,1,-4761,42667,0,236702,29034,3,256731,44618,0
115,230884,1,3,2,30,6,217556,29690,8,106954,2127,-2,197146,38106,-2,177739,6693,7,135158,48245,2,40282,38716,1
116,33247,2,2,1,40,3,155814,20267,7,158508,42421,7,127794,14899,-2,221496,7296,5,142228,45524,0,229822,43689,1
117,34300,2,2,2,40,-2,102012,9623,4,253987,46598,8,93967,40255,8,78077,41860,2,294776,441,6,210200,42803,0
118,477281,1,2,3,47,7,91254,16771,1,113344,39750,-1,27837,11167,1,187173,35544,6,284723,31437,7,91669,30124,0
119,92798,1,4,1,58,0,211591,11625,0,104508,35233,0,171143,22321,5,8655,8710,3,73733,31360,4,233548,30655,1
120,19268,1,2,2,30,2,115425,35525,1,40259,22910,1,204686,28156,8,171547,844,7,14249,26006,1,236670,39165,1
121,358951,1,3,1,39,1,240859,43405,6,215705,33305,6,301,30646,6,264093,7247,8,241701,47032,8,162350,25855,0
122,284329,1,2,3,61,2,42740,12738,7,174448,3766,5,104036,41283,6,95244,44357,7,240893,45996,6,33901,49206,0
123,204776,1,2,1,50,-2,143265,10580,6,187905,8687,7,94272,36122,8,75082,38055,5,43043,47648,-2,241496,47338,0
124,227851,2,1,2,36,-2,258260,17057,3,22921,33254,0,49578,37075,-1,292888,37931,6,100045,604,2,246971,3636,1
125,442315,2,2,2,60,-1,11226,37861,1,290420,4569,3,80155,29576,5,99207,2294,4,88493,14731,2,226572,37607,0
126,411787,2,2,3,32,6,205923,641,-2,142970,1918,5,175408,7491,6,176173,32238,3,66770,44154,0,190144,29016,0
127,246584,2,2,1,25,0,-3681,21995,7,127900,39287,0,12133,19400,3,80090,34475,5,216725,29300,7,149749,19401,0
128,48044,2,2,1,63,5,123495,19874,2,12654,40044,-2,46763,31592,3,154929,23398,4,297133,4153,5,121266,4821,1
129,323358,1,2,3,23,7,16835,3606,4,147071,28375,7,173770,129,4,276316,6756,3,230329,10528,1,197291,3389,1
130,464444,1,2,3,44,0,166491,44883,5,244542,38329,5,86072,687,5,183149,32684,3,71923,27089,-2,189189,6117,0
131,386896,2,4,3,46,0,230239,42208,2,178362,45802,7,295559,808,0,-5869,37219,2,197514,1098,-2,195370,22043,0
132,58984,1,3,3,51,6,164008,36376,3,61392,2830,-2,24727,16911,4,296449,39272,-1,-1452,38137,1,81749,46554,1
133,312918,2,4,2,23,6,256697,2174,4,190323,18195,-2,211227,4623,7,237440,46846,4,87177,33566,0,245303,16124,1
134,274712,2,3,2,21,8,298268,44772,0,248534,19316,-1,234143,15895,-2,279913,1606,8,286334,6294,2,46298,46471,1
135,130151,1,4,3,31,-1,221110,3907,0,192035,28852,-1,131587,43763,8,29455,1714,-1,161741,46466,1,230812,23188,0
136,465808,1,2,3,25,5,153080,2147,5,183245,35781,5,130904,41368,8,190915,36868,-2,418,33135,4,101190,2155,1
137,470779,2,4,1,27,8,95023,902,3,152850,2287,-1,160949,1430,7,262271,3794,5,21984,42499,1,284141,49533,1
138,143767,2,3,2,53,8,259046,25105,4,103786,7863,-2,11903,19834,-2,92732,39056,8,136119,49217,7,104765,44404,1
139,134375,2,1,1,33,6,133722,4792,4,283442,45061,7,82048,10908,3,159418,39008,-2,76979,18269,0,53188,19189,1
140,189262,2,1,1,62,4,249804,46645,3,217442,7906,3,273291,48567,5,80974,36511,8,198194,32526,-1,164677,16216,1
141,146330,1,2,2,51,5,63531,9141,0,193213,3154,-2,92444,30838,8,58961,8237,0,107186,7574,3,293647,31691,0
142,490754,2,2,3,33,-2,24069,34063,3,233196,40520,2,97126,1424,7,299309,33929,3,208312,26965,4,16531,4017,0
143,311648,1,3,2,21,-1,282780,22666,7,263932,29970,1,201758,41638,4,85359,19304,5,1126,7515,5,259798,21717,1
144,174231,2,1,1,64,5,93579,22732,2,6292,49194,5,13411,47455,0,-2625,4056,8,240974,45574,7,169833,24556,0
145,23986,2,2,2,58,0,201589,23293,0,125286,28122,6,148974,22055,7,49471,27728,2,292217,9462,8,228526,41190,1
146,71858,1,4,3,59,4,274225,5932,3,278829,36234,1,105336,3469,5,52710,12544,1,194325,25164,1,234313,48407,1
147,139312,1,4,2,53,4,252279,37757,8,211936,17794,7,82966,36767,7,236520,36320,2,190812,30092,-1,95457,33849,1
148,22666,1,1,3,62,5,76918,29681,2,65105,850,7,104112,14513,-1,180094,43968,0,234884,32490,8,64012,32770,1
149,310804,1,3,3,55,5,190368,35495,-1,198223,9561,1,37146,49493,-1,166807,7747,1,201090,2872,4,223831,42974,0
150,144633,1,2,1,59,5,288310,19299,7,2299,29985,6,293138,40237,2,119671,1617,0,252301,43496,0,159858,12084,1
151,298998,2,2,1,62,2,13093,21061,7,289285,40612,8,196608,42456,1,268831,18430,1,206069,25353,-2,61706,3746,0
152,336649,2,2,3,62,-2,73426,30363,0,129041,7640,0,107573,44935,2,116061,41699,-1,250644,29959,-1,83199,2617,0
153,114488,2,1,3,29,6,194545,7576,5,205910,42809,3,67376,6668,4,212429,16123,8,156411,8038,0,253807,35619,1
154,193323,1,4,1,26,8,83148,16980,2,277918,3149,7,266895,13559,4,280320,14697,1,91497,30454,6,19241,27567,0
155,294806,1,3,3,61,8,18086,42991,8,172429,21492,1,184748,43259,4,230703,10025,-1,131295,7632,6,13830,35831,0
156,280536,1,1,2,29,6,291074,9421,0,129959,25687,3,209682,48083,3,175094,25239,4,159737,19142,-2,78066,33743,1
157,40535,2,1,3,47,3,263900,34923,5,192001,5441,6,145667,16206,3,133042,44491,7,207943,31413,5,165319,32059,1
158,481819,1,2,3,62,6,2697,28948,7,108997,45595,6,260238,21407,3,4586,43904,1,69045,25819,5,26797,30445,1
159,385713,2,4,1,49,4,235924,48212,3,105777,15048,2,89084,44992,7,43671,7127,5,232595,3690,4,282418,36537,0
160,324400,2,3,1,24,1,-4996,4592,2,128731,45977,0,324,2781,-1,82634,23446,4,117126,15211,2,190429,5689,0
161,361279,2,3,1,45,7,176710,42932,4,138428,9114,5,263879,34588,4,121988,35814,1,43907,34635,2,223066,29775,0
162,399622,1,2,2,36,7,199337,1112,4,27737,44114,7,279350,33530,8,156597,48728,2,118777,19776,6,231782,33446,0
163,307366,2,3,3,54,1,33514,35014,8,103117,40920,1,185972,40084,2,26044,29834,7,273814,24809,3,174994,8891,0
164,87373,2,4,3,31,-2,24990,24830,8,257980,9447,0,168576,43573,3,94775,37547,2,224265,23241,0,1569,33403,0
165,482791,2,2,1,29,6,65341,138,-2,72900,43190,1,86617,38005,8,265592,7722,7,97376,44723,3,4716,38618,1
166,133684,1,2,3,55,3,79038,37130,8,62083,11341,0,275755,24600,4,212686,16357,6,90345,9927,0,112713,13066,0
167,499570,2,4,3,47,4,51730,5563,8,10161,37738,3,163294,13532,5,141065,27009,4,228116,30203,2,155474,30205,1
168,487867,1,3,2,59,-1,201021,29720,3,18431,18058,-1,277896,26316,2,-3186,41563,6,14531,20114,2,267268,35786,0
169,466551,1,4,3,48,8,212955,35207,2,114141,6606,3,51464,23230,-2,161066,24832,3,9607,5421,1,186798,7142,0
170,283109,2,3,2,63,0,20352,39705,7,263150,44783,5,294507,19434,8,134841,17617,3,-105,21220,-1,85953,22991,0
171,34538,2,3,3,25,1,56809,19065,5,91858,21559,2,174723,35677,-2,75763,44715,1,33428,26990,-2,262093,28442,1
172,380210,1,3,1,36,0,-3339,43625,-2,167559,40707,7,245172,5555,2,109007,41134,4,160493,37971,3,234568,13525,0
173,211664,2,4,1,48,7,2186,29319,3,103795,40566,8,272172,18462,4,100497,37331,2,3783,259,8,31910,16247,1
174,385396,1,4,3,22,6,170434,7373,-1,4160,23884,8,193814,17252,2,196638,28625,-1,87801,8724,1,67147,3677,1
175,149182,1,1,1,62,5,248031,21591,-1,170015,45037,3,258841,5690,8,62039,16198,7,161711,47956,4,174898,31254,1
176,482525,1,4,2,30,-1,103964,2929,0,267939,5093,0,9320,34147,4,245931,9435,0,64641,816,-2,116882,31155,0
177,168338,2,2,1,39,6,1969,38588,8,21410,28113,5,-5849,39767,1,265810,27846,8,252384,26610,8,115640,33006,0
178,194064,1,2,2,40,8,281896,36527,5,145471,13734,-2,273942,19634,-2,161717,1401,4,148330,44654,2,199467,28754,1
179,224020,1,2,3,58,5,41354,31061,2,165077,47127,6,167837,25557,8,267482,36916,0,147351,8744,0,79150,5837,1
180,108806,2,2,3,55,1,204743,39886,6,189349,25959,3,95068,26069,2,285337,48224,7,67360,44112,1,271098,11854,1
181,410126,2,1,1,61,0,127017,48817,-1,54656,32766,3,102037,27221,3,9089,20674,7,277157,28348,0,18651,16512,0
182,383133,1,4,3,30,1,246067,16258,-2,-732,10072,4,191810,30152,7,292588,1901,0,226411,5304,2,59242,47378,1
183,100982,1,4,3,56,-1,136369,16354,3,172367,7474,3,200141,47566,4,35098,23507,3,250051,16596,2,222671,18196,1
184,131626,1,3,2,36,5,174621,18980,2,226147,44697,6,290151,15167,2,74207,7455,-1,83419,45,7,20875,33045,1
185,129176,2,4,2,46,3,273374,22596,0,13658,42016,0,296780,2740,0,46813,42011,8,20635,43453,0,251638,39327,1
186,403422,1,3,3,51,7,197444,33493,4,170527,25397,8,162566,29281,5,144866,37214,0,79626,18566,3,268292,5924,1
187,228126,1,3,1,62,-2,60453,32404,0,214191,32073,2,115682,44967,-1,-5340,40909,8,274841,42737,6,98161,12058,0
188,228969,2,2,1,21,4,52285,42057,1,245959,18802,2,117499,29176,4,216107,40892,-2,-1618,20532,0,298198,22524,1
189,132409,2,1,1,43,1,294737,39375,3,216513,29659,7,103093,46463,3,127225,11140,6,292632,21403,1,39594,21760,1
190,33419,1,1,3,62,8,1296,44357,8,21428,2588,2,129319,9248,5,13305,33566,6,258618,49510,0,263764,25400,0
191,453852,2,4,1,47,1,107832,9009,1,198850,29371,-1,285717,10103,8,38632,46752,1,193783,46557,4,29650,46654,1
192,263618,1,3,1,39,2,205209,933,7,63837,5165,2,160351,6963,5,232684,24065,6,133202,27482,1,294186,36304,0
193,255310,1,2,3,36,8,186005,36326,1,228331,42070,4,33594,34339,8,43538,25731,7,221429,11025,0,23630,10318,0
194,60015,2,3,2,58,5,5975,27271,5,105987,46133,0,211779,46423,7,70884,1676,0,222798,7314,7,270491,27182,0
195,258550,1,2,2,28,7,180646,43959,4,246842,1325,0,215765,18283,5,4342,16132,8,104991,1847,-2,177341,19165,0
196,132096,1,3,3,36,-1,61679,16192,1,149920,21255,7,171926,44893,-1,111491,4828,0,30093,3951,7,185602,39508,0
197,117059,2,4,2,32,4,278352,8281,-2,53678,47646,2,37227,19637,1,1701,29573,0,45031,42002,4,270300,15318,1
198,195340,1,4,1,29,6,121504,23904,8,40775,4222,6,237803,1239,-1,5110,24640,-1,29980,15530,8,299092,6022,1
199,120687,2,3,3,27,5,296989,18738,-2,111049,20961,4,183335,38359,6,98267,48768,1,171650,47282,7,233011,47532,1
200,360083,1,1,3,60,7,86896,25753,5,265557,35214,3,-3193,46454,7,278573,23683,-1,62082,46494,7,84790,17555,1
201,421357,2,2,2,57,7,20810,26111,5,57994,40022,-2,57889,26126,2,109484,28630,1,202276,2088,5,139910,44984,0
202,221428,2,1,3,43,-1,233494,6599,7,95060,43184,5,281791,24965,5,292217,20891,5,17296,186,4,66656,32144,0
203,115878,2,1,3,61,1,14325,25675,7,204380,904,7,33151,27512,2,81971,11674,-1,45382,40879,3,44741,34816,0
204,212982,2,3,1,28,-2,223267,34501,7,128292,18368,0,133017,10635,6,149808,14818,-2,67972,34401,1,206069,40109,0
205,459260,2,2,3,43,1,23767,7185,6,147418,8693,-1,266659,43080,-1,58121,5480,3,182902,1365,4,41040,48023,0
206,208286,2,2,3,40,2,235377,25171,1,103411,1680,6,162599,30238,0,59626,15312,4,155889,45465,6,90506,17120,1
207,259002,1,4,3,31,3,14124,19874,6,283218,40271,3,9435,17775,-1,194293,10138,-1,159489,29756,8,39568,27017,0
208,260396,1,3,3,21,-1,86063,6572,0,223233,26831,3,-6585,23700,-2,257316,20646,3,127099,6599,1,204931,22210,0
209,174899,2,3,2,64,2,92276,38874,3,46105,34769,4,198621,42301,8,73483,16600,6,191836,7330,-1,36157,10049,0
210,459036,1,3,3,25,2,66337,1190,0,20066,28819,3,270671,48379,7,273044,27997,0,222049,41553,-2,156528,39825,0
211,334767,2,4,1,34,1,204966,17887,2,158154,40198,7,292509,30013,4,119436,32333,-2,197371,33901,3,294054,23948,0
212,484950,2,4,2,27,5,186130,39709,7,28835,2427,-1,55933,12220,6,139843,23912,3,155377,17091,-2,175028,20183,0
213,347594,1,2,3,44,7,107958,30514,5,234568,25052,4,93525,36743,4,240016,20353,-1,272033,3207,0,189963,8690,1
